SMILES,MP,Type,MP_label,MACCS_106,MACCS_107,MACCS_128,MACCS_129,MACCS_130,MACCS_131,MACCS_141,MACCS_142,MACCS_143,MACCS_144,MACCS_145,MACCS_146,MACCS_147,MACCS_148,MACCS_149,MACCS_150,MACCS_151,MACCS_152,RDKit_fr_pyridine,MACCS_127,MACCS_126,MACCS_125,MACCS_115,MACCS_108,MACCS_109,MACCS_110,MACCS_111,MACCS_112,MACCS_113,MACCS_114,MACCS_116,MACCS_124,MACCS_117,MACCS_118,MACCS_119,MACCS_120,MACCS_121,MACCS_122,MACCS_123,RDKit_qed,MP_pred,AE,lower,upper,uncertainty
O=C1NN=C(/C/1=C/Nc1ccccc1)c1c(O)c2ccccc2n(c1=O)C,272.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,1.7790922729936882,-0.4278323665983181,1.4350577908029218,1.180292813529779,1.1197886861237172,1.2105927780254617,1.309061688147987,-0.5830341819052273,1.4459492490295884,-0.6819073025533925,0.9915735796549311,1.448969096471769,1.1124787902901199,2.9894370715488794,1.180292813529779,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,1.8595268851743958,-0.43000140590801145,-0.5723050232590808,1.6075757314608237,-0.38143260166289866,-0.4492155564442815,1.623299890091938,1.7638556922656088,-0.5792022907381129,2.22808753693419,1.814168359103603,1.5141145997025804,1.6758671802046858,-0.6441698587346496,0.2126962560819229,282.7331578304893,10.73315783048929,266.0617619842707,289.04347576200365,22.981713777732978
CCO/C=N/c1c(sc2c1c(/N=C/OCC)c(s2)C(=O)OCC)C(=O)OCC,267.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,-0.5620843927995341,2.337364066096656,1.4350577908029218,-0.8472473851716541,1.1197886861237172,-0.8260416038752942,1.309061688147987,-0.5830341819052273,-0.6915872052017898,1.4664749831179598,0.9915735796549311,-0.690145843990044,-0.8988935418168404,-0.2651397402692377,-0.8472473851716541,1.6148999429688078,1.309061688147987,-0.4255231590028169,-0.4240263850952258,2.213627530294589,1.8595268851743958,-0.43000140590801145,-0.5723050232590808,-0.6220546755152169,2.621695145198356,-0.4492155564442815,-0.6160291182816282,1.7638556922656088,-0.5792022907381129,2.22808753693419,1.814168359103603,-0.6604519896951206,-0.596705999026643,1.5523855803565716,-1.6979321528939653,282.7331578304893,15.73315783048929,256.058182044877,318.1803010683093,62.122119023432276
OC(=O)C1=CC(=C(c2ccc(c(c2)C(=O)O)O)c2ccc(c(c2)C(=O)O)O)C=CC1=O,300.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,1.7790922729936882,-0.4278323665983181,-0.6968360482824146,1.180292813529779,1.1197886861237172,1.2105927780254617,1.309061688147987,-0.5830341819052273,-0.6915872052017898,-0.6819073025533925,0.9915735796549311,-0.690145843990044,1.1124787902901199,-0.2651397402692377,1.180292813529779,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,-0.43000140590801145,-0.5723050232590808,1.6075757314608237,-0.38143260166289866,-0.4492155564442815,-0.6160291182816282,-0.566939803740711,-0.5792022907381129,-0.44881540039310247,-0.5512167572441342,-0.6604519896951206,-0.596705999026643,1.5523855803565716,-0.8190445338509311,282.7331578304893,17.26684216951071,257.279948563745,332.34038316884994,75.06043460510494
OC(=O)c1sc(nc1C)c1ccncc1,305.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,-0.5620843927995341,-0.4278323665983181,1.4350577908029218,-0.8472473851716541,1.1197886861237172,-0.8260416038752942,-0.7639059404563003,-0.5830341819052273,-0.6915872052017898,-0.6819073025533925,0.9915735796549311,-0.690145843990044,-0.8988935418168404,2.9894370715488794,-0.8472473851716541,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,-0.43000140590801145,-0.5723050232590808,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,-0.6160291182816282,-0.566939803740711,-0.5792022907381129,-0.44881540039310247,1.814168359103603,1.5141145997025804,-0.596705999026643,1.5523855803565716,1.5493055939735605,282.7331578304893,22.26684216951071,261.3669172884761,291.6290104993034,30.262093210827288
OC(=O)c1c[nH]nc1,282.0,Test,H,-0.48494075685339844,-0.6544985027345466,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,1.7790922729936882,-0.4278323665983181,1.4350577908029218,-0.8472473851716541,-0.893025632775073,-0.8260416038752942,-0.7639059404563003,-0.5830341819052273,-0.6915872052017898,-0.6819073025533925,-1.00849802830366,1.448969096471769,-0.8988935418168404,-0.2651397402692377,-0.8472473851716541,-0.6192334109329493,-0.7639059404563003,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,-0.43000140590801145,-0.5723050232590808,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,1.623299890091938,-0.566939803740711,-0.5792022907381129,-0.44881540039310247,1.814168359103603,1.5141145997025804,-0.596705999026643,1.5523855803565716,-0.28713913274514546,282.7331578304893,0.7331578304892901,265.377704452157,317.24195615770697,51.864251705549975
Clc1ccc2c(c1)N=C(N1CCN(CC1)C1=Nc3cc(Cl)ccc3Nc3c1cccc3)c1c(N2)cccc1,334.0,Test,H,-0.48494075685339844,1.5278873760931782,2.0358502645371237,2.01822504276216,-0.479975672208513,1.7790922729936882,-0.4278323665983181,1.4350577908029218,-0.8472473851716541,1.1197886861237172,1.2105927780254617,-0.7639059404563003,1.7151653042574968,1.4459492490295884,-0.6819073025533925,-1.00849802830366,1.448969096471769,-0.8988935418168404,-0.2651397402692377,-0.8472473851716541,-0.6192334109329493,1.309061688147987,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,2.325573791760872,-0.5723050232590808,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,-0.6160291182816282,-0.566939803740711,1.7265125086533049,2.22808753693419,1.814168359103603,1.5141145997025804,1.6758671802046858,-0.6441698587346496,-2.113856436981863,282.7331578304893,51.26684216951071,263.9101666991451,334.4030625485231,70.49289584937799
O=C1N=NC(=C1NNc1ccccc1C(=O)O)C(F)(F)F,274.0,Test,H,2.0621075582275883,1.5278873760931782,-0.49119525999490077,-0.49548488340596125,2.0834389280579537,1.7790922729936882,-0.4278323665983181,1.4350577908029218,1.180292813529779,1.1197886861237172,-0.8260416038752942,1.309061688147987,-0.5830341819052273,-0.6915872052017898,-0.6819073025533925,0.9915735796549311,1.448969096471769,-0.8988935418168404,-0.2651397402692377,1.180292813529779,-0.6192334109329493,-0.7639059404563003,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,1.8595268851743958,-0.43000140590801145,1.747319976863636,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,1.623299890091938,1.7638556922656088,-0.5792022907381129,2.22808753693419,1.814168359103603,1.5141145997025804,-0.596705999026643,1.5523855803565716,0.9157482241420148,282.7331578304893,8.73315783048929,251.56368128337607,288.012495371582,36.44881408820595
OC(CS(=O)(=O)O)CNC1CCCCC1,272.0,Test,H,2.0621075582275883,-0.6544985027345466,2.0358502645371237,2.01822504276216,2.0834389280579537,1.7790922729936882,-0.4278323665983181,-0.6968360482824146,-0.8472473851716541,-0.893025632775073,-0.8260416038752942,1.309061688147987,1.7151653042574968,1.4459492490295884,-0.6819073025533925,-1.00849802830366,1.448969096471769,1.1124787902901199,-0.2651397402692377,-0.8472473851716541,-0.6192334109329493,-0.7639059404563003,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,2.325573791760872,1.747319976863636,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,1.623299890091938,-0.566939803740711,1.7265125086533049,-0.44881540039310247,-0.5512167572441342,-0.6604519896951206,-0.596705999026643,-0.6441698587346496,0.02693393856087273,282.7331578304893,10.73315783048929,266.4800770214082,297.71817546374535,31.23809844233716
N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,250.0,Test,H,-0.48494075685339844,1.5278873760931782,-0.49119525999490077,-0.49548488340596125,-0.479975672208513,-0.5620843927995341,-0.4278323665983181,1.4350577908029218,-0.8472473851716541,1.1197886861237172,-0.8260416038752942,-0.7639059404563003,-0.5830341819052273,-0.6915872052017898,-0.6819073025533925,0.9915735796549311,-0.690145843990044,-0.8988935418168404,-0.2651397402692377,-0.8472473851716541,-0.6192334109329493,-0.7639059404563003,-0.4255231590028169,-0.4240263850952258,-0.45174718253839224,-0.53777119759482,-0.43000140590801145,-0.5723050232590808,-0.6220546755152169,-0.38143260166289866,-0.4492155564442815,-0.6160291182816282,-0.566939803740711,-0.5792022907381129,-0.44881540039310247,-0.5512167572441342,-0.6604519896951206,-0.596705999026643,-0.6441698587346496,-0.38708141130838536,282.7331578304893,32.73315783048929,262.89854011535573,321.01556747890385,58.11702736354812
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CCC3C(C1CC2=O)(C)CCC(C3)O)C,266.5,Test,H,-0.48494075685339844,-0.6544985027345466,2.0358502645371237,2.01822504276216,-0.479975672208513,-0.5620843927995341,2.337364066096656,-0.6968360482824146,1.180292813529779,-0.893025632775073,1.2105927780254617,1.309061688147987,1.7151653042574968,-0.6915872052017898,1.4664749831179598,0.9915735796549311,-0.690145843990044,1.1124787902901199,-0.2651397402692377,1.180292813529779,-0.6192334109329493,-0.7639059404563003,2.350048355401921,2.3583438086651722,2.213627530294589,-0.53777119759482,-0.43000140590801145,1.747319976863636,-0.6220546755152169,-0.38143260166289866,2.226102782181889,-0.6160291182816282,-0.566939803740711,1.7265125086533049,-0.44881540039310247,1.814168359103603,-0.6604519896951206,-0.596705999026643,1.5523855803565716,0.005265845388845659,282.7331578304893,16.23315783048929,258.16147801157484,291.91729001773336,33.75581200615852
